"URL","HTMLMatches","URLMatches","HC","T"
"http://carper.senate.gov/public/index.cfm?p=reducing-the-deficit-and-debt",1,1,2011-07-18 14:07:47,2011-07-29 19:11:39
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:59
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:08:55
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:07:45
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:42
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:02:47
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:02:24
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:05:19
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:51
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:07:18
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 19:06:33,2011-07-29 19:07:40
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:06:40
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:14
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:21
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:51
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:10:31
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:52
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:51
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:12:49
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:15:04
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:39
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:05:07
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:16:25
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:08:20
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:14
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:15:33
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:12
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:02:45
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:10
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:03:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:17:26
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:14
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:39
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:19
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:05:05
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:42
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 19:06:33,2011-07-29 19:09:28
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:11:40
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:04:56
